wavelength,species,ep,gf,achi131125.1120_cnorm,achi150118.1126_cnorm,achi150725.1150_cnorm,achi140925.1133_cnorm,achi131104.1121_cnorm,achi141130.1123_cnorm,achi140111.1120_cnorm,achi140804.1151_cnorm,achi141211.1130_cnorm,achi140914.1136_cnorm,achi141022.1126_cnorm
4602.001,26.0,1.608,-3.154,67.627,65.99,65.629,66.012,66.517,66.856,68.139,68.251,67.429,65.348,66.162
4779.439,26.0,3.415,-2.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4788.757,26.0,3.237,-1.763,60.328,60.794,60.452,59.643,60.798,59.443,59.128,60.063,59.529,59.992,58.896
4950.106,26.0,3.417,-1.56,72.222,72.37,68.856,71.344,71.344,71.344,71.344,71.344,71.344,72.149,72.149
4994.129,26.0,0.915,-3.08,nan,nan,nan,104.995,106.31,106.31,105.722,104.851,104.851,104.851,104.107
5044.211,26.0,2.8512,-2.058,69.908,73.379,70.777,76.667,73.817,72.898,71.23,73.36,69.017,70.0,75.603
5054.642,26.0,3.64,-1.921,29.618,30.189,28.26,30.116,30.668,31.321,30.008,33.827,29.994,29.726,30.752
5127.359,26.0,0.915,-3.307,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5127.679,26.0,0.052,-6.125,nan,nan,nan,27.899,29.174,27.102,28.454,26.462,27.375,27.375,26.794
5198.711,26.0,2.223,-2.135,113.499,109.521,108.984,108.604,112.848,108.627,111.309,110.127,109.498,110.214,111.159
5225.525,26.0,0.1101,-4.789,72.025,69.844,69.844,69.844,67.199,69.129,73.005,73.005,68.823,69.129,72.04
5242.491,26.0,3.634,-0.967,77.652,77.095,77.095,77.4,79.584,76.425,78.508,77.632,79.582,76.726,79.399
5247.05,26.0,0.0872,-4.946,66.449,65.485,65.791,66.36,65.653,64.651,64.598,65.182,65.946,66.571,64.501
5250.208,26.0,0.1212,-4.938,68.925,69.541,69.77,67.043,69.521,68.971,68.195,68.351,68.315,69.273,69.193
5295.312,26.0,4.415,-1.49,16.235,16.664,16.122,15.365,13.899,17.162,17.685,15.419,17.366,17.864,16.106
5322.041,26.0,2.279,-2.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5373.709,26.0,4.473,-0.77,52.497,51.443,49.746,53.459,55.679,53.165,53.854,50.733,53.331,52.656,55.97
5379.574,26.0,3.694,-1.514,49.452,51.884,50.464,48.991,49.207,50.382,50.691,48.299,50.914,50.209,50.73
5386.334,26.0,4.154,-1.74,20.919,22.883,19.116,20.919,20.506,18.165,20.188,21.388,21.28,21.189,21.803
5466.396,26.0,4.371,-0.565,68.676,68.676,68.217,68.217,69.716,69.716,71.45,71.45,68.129,68.129,69.374
5466.987,26.0,3.573,-2.23,25.448,24.278,22.421,24.161,24.529,24.529,24.529,24.529,23.232,23.232,26.49
